relativeIndex	absoluteIndex	description	TP	FP	TN	FN	Acc	MCC	F1	Recall	Precision	Count
0	0	[CX3]=N([#6,#1])[#6,#1] (9 imine)	9.0	2.0	184549.0	49.0	0.9997237404460236	0.3562431677568137	0.2608695652173913	0.1551724137931034	0.8181818181818182	58.0
1	1	[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])([S][#6]) (22 thiohemiaminal)	320.0	77.0	183942.0	270.0	0.9981203516621616	0.6603374227943919	0.6484295845997974	0.5423728813559322	0.8060453400503779	590.0
2	2	c[OH] (34 phenol)	20343.0	5456.0	151292.0	7518.0	0.929721736210044	0.7179005959608823	0.7582184122251211	0.7301604393237859	0.7885189348424357	27861.0
3	3	[OH]cc[OH] (35 1,2-diphenol)	2769.0	838.0	179389.0	1613.0	0.9867232908471418	0.6898814738189711	0.6932031543372137	0.6319032405294386	0.7676739672858331	4382.0
4	4	[#6]O[#6] (37 ether)	77289.0	8823.0	87942.0	10555.0	0.8950322031970273	0.7895215041241026	0.8886040148083424	0.8798438140339693	0.8975404124860646	87844.0
5	5	cOc (40 diaryl ether)	601.0	304.0	182189.0	1515.0	0.9901467425748474	0.4303298879484628	0.3978814961933135	0.2840264650283554	0.6640883977900552	2116.0
6	6	[#6]S[#6] (41 thioether)	8033.0	2769.0	171263.0	2544.0	0.971220254700475	0.7362585317816664	0.7514851022030965	0.7594781128864517	0.7436585817441215	10577.0
7	7	[R] (204 Ring)	168369.0	1775.0	11948.0	2517.0	0.9767508626339996	0.8354999874724757	0.9874145969562796	0.9852708823426144	0.9895676603347752	170886.0
8	8	[CX4]([#6])([#6])([#6])[#6] (Quaternary_carbon)	17237.0	4153.0	157596.0	5623.0	0.9470448353005542	0.749562141092544	0.7790734463276836	0.7540244969378828	0.8058438522674147	22860.0
9	9	[IX1][CX4] (Alkyliodide)	10.0	8.0	184547.0	44.0	0.9997183235920242	0.3206437979830792	0.2777777777777778	0.1851851851851851	0.5555555555555556	54.0
10	10	[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15])] (Alcohol)	38560.0	6717.0	130661.0	8671.0	0.9166454506551684	0.7783892857276049	0.8336576296104121	0.8164129491223985	0.8516465313514588	47231.0
11	11	[OX2H][CX4H2;!$(C([OX2H])[O,S,#7,#15])] (Primary_alcohol)	14064.0	3684.0	159331.0	7530.0	0.939255399249224	0.6854357348396474	0.7149611102638401	0.6512920255626563	0.7924273157538878	21594.0
12	12	[OX2H][CX4H;!$(C([OX2H])[O,S,#7,#15])] (Secondary_alcohol)	28396.0	5325.0	143038.0	7850.0	0.9286329485561376	0.7685028033772809	0.8116969428444839	0.7834243778623848	0.8420865336140684	36246.0
13	13	[OX2H][CX4D4;!$(C([OX2H])[O,S,#7,#15])] (Tertiary_alcohol)	4620.0	3024.0	170227.0	6738.0	0.9471206712565476	0.4695451243788988	0.4862646037259235	0.4067617538298996	0.6043956043956044	11358.0
14	14	[OX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])] (Dialkylether)	4958.0	2129.0	169902.0	7620.0	0.9471910903585417	0.5007178166280327	0.5042461225527587	0.3941803148354269	0.6995908000564414	12578.0
15	15	[OX2](c)[CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])] (Alkylarylether)	27592.0	5629.0	142907.0	8481.0	0.9235681900665732	0.750390729477287	0.7963748665108091	0.7648934105840933	0.8305589837753229	36073.0
16	16	[NX3+0,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])] (Amine)	34844.0	6293.0	135357.0	8115.0	0.921953967574712	0.7784763109460368	0.8286719939117199	0.811098954817384	0.8470233609645818	42959.0
17	17	[NX3H2+0,NX4H3+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])] (Primary_aliph_amine)	7275.0	2001.0	172651.0	2682.0	0.9746328727201816	0.7436682963431608	0.7565122445796288	0.7306417595661344	0.7842820181112549	9957.0
18	18	[NX3H1+0,NX4H2+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])] (Secondary_aliph_amine)	5299.0	2370.0	173342.0	3598.0	0.9676722153307802	0.6248017418807846	0.6397440540866837	0.5955940204563336	0.6909636197678968	8897.0
19	19	[NX4H0+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])] (Quaternary_aliph_ammonium)	802.0	51.0	183522.0	234.0	0.9984561966101329	0.8524084115970187	0.8491265219692959	0.7741312741312741	0.94021101992966	1036.0
20	20	[NX3H2+0,NX4H3+]c (Primary_arom_amine)	7606.0	3296.0	169681.0	4026.0	0.9603377950154108	0.6543618070013453	0.675068784947191	0.6538858321870702	0.6976701522656393	11632.0
21	21	[NX3H1+0,NX4H2+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])] (Secondary_arom_amine)	192.0	186.0	183744.0	487.0	0.9963544572583136	0.3773196640469041	0.3632923368022706	0.2827687776141384	0.5079365079365079	679.0
22	22	[SX2]([CX4;!$(C([SX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([SX2])[O,S,#7,#15])] (Dialkylthioether)	658.0	232.0	182995.0	724.0	0.9948214875764454	0.5909327703473647	0.579225352112676	0.4761215629522431	0.7393258426966293	1382.0
23	23	[SX2](c)[CX4;!$(C([SX2])[O,S,#7,#15])] (Alkylarylthioether)	2742.0	1076.0	179084.0	1707.0	0.9849248953192964	0.6577032498320176	0.6633603483730495	0.6163182737693864	0.7181770560502881	4449.0
24	24	[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15])][CX4;!$(C([OX2H])[O,S,#7,#15])][OX2H] (1,2-Diol)	16478.0	1993.0	162756.0	3382.0	0.970884409752504	0.8442438849806646	0.8597740732044559	0.8297079556898288	0.8921011315034378	19860.0
25	25	[#6][CX3](=[OX1])[#6] (Ketone)	15228.0	8113.0	151218.0	10050.0	0.9016136808064612	0.5704724774258376	0.626421769267159	0.6024210776169001	0.6524142067606358	25278.0
26	26	[NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][FX1,ClX1,BrX1,IX1,NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])] (Acetal_like)	15420.0	1842.0	163035.0	4312.0	0.9666646804868668	0.8174681307580851	0.833648699789155	0.781471721062234	0.8932916232186305	19732.0
27	27	[NX3v3,SX2,OX2;$(**=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][FX1,ClX1,BrX1,IX1,NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])] (Hetero_methylen_ester_and_similar)	1299.0	465.0	180395.0	2450.0	0.984209870591358	0.4986516766957454	0.471249773263196	0.3464923979727927	0.7363945578231292	3749.0
28	28	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[$([OX2H]),$([OX1-])] (Carboxylic_acid)	25638.0	5568.0	143685.0	9718.0	0.917197969763121	0.7221709344971476	0.770349448634356	0.7251385903382735	0.8215727744664487	35356.0
29	29	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[OX2][#6;!$(C=[O,N,S])] (Carboxylic_ester)	21123.0	5010.0	150809.0	7667.0	0.9313305418479056	0.730141145543073	0.7691859512408281	0.7336922542549497	0.8082883710251406	28790.0
30	30	[#6][#6X3R](=[OX1])[#8X2][#6;!$(C=[O,N,S])] (Lactone)	8419.0	3602.0	167166.0	5422.0	0.951118309508204	0.6267249481778	0.651071069522852	0.6082652987500903	0.7003577073454788	13841.0
31	31	[CX3;$([H0][#6]),$([H1])](=[OX1])[#8X2][CX3;$([H0][#6]),$([H1])](=[OX1]) (Carboxylic_anhydride)	20.0	21.0	184397.0	171.0	0.9989599640320894	0.2256692019292718	0.1724137931034483	0.1047120418848167	0.4878048780487805	191.0
32	32	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[SX2][#6;!$(C=[O,N,S])] (Carbothioic_S_ester)	60.0	31.0	184375.0	143.0	0.9990574674040812	0.4410660281424565	0.4081632653061225	0.2955665024630542	0.6593406593406593	203.0
33	33	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])] (Amide)	26072.0	8303.0	143262.0	6972.0	0.9172575551571158	0.723053683876354	0.7734318218899716	0.7890085946011379	0.7584581818181818	33044.0
34	34	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[NX3H2] (Primary_amide)	1499.0	764.0	180818.0	1528.0	0.9875845706330676	0.566677212313223	0.5667296786389414	0.495209778658738	0.6623950508174989	3027.0
35	35	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])] (Tertiary_amide)	2621.0	1681.0	176998.0	3309.0	0.9729698985423246	0.5055812971541155	0.5123143080531665	0.4419898819561551	0.6092515109251511	5930.0
36	36	[#6R][#6X3R](=[OX1])[#7X3;$([H1][#6;!$(C=[O,N,S])]),$([H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])] (Lactam)	7261.0	3269.0	167586.0	6493.0	0.9471206712565476	0.5760711209738146	0.5980069181353979	0.5279191507924967	0.6895536562203229	13754.0
