relativeIndex	absoluteIndex	description	TP	FP	TN	FN	Acc	MCC	F1	Recall	Precision	Count
0	18	[#6,#1]C([#6,#1])(O[#6])(O[#6]) (19 acetal)	14693.0	1010.0	127791.0	1921.0	0.9798438950589692	0.8984287335640723	0.909304700312529	0.8843746238112435	0.9356810800483985	16614.0
1	19	[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])(O[#6]) (20 hemiaminal)	160.0	52.0	144860.0	343.0	0.9972836364886704	0.48892499133937617	0.44755244755244755	0.31809145129224653	0.7547169811320755	503.0
2	20	[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])(N([#6,#1])[#6,#1]) (21 aminal)	155.0	45.0	144855.0	360.0	0.997214867792181	0.4819402267479467	0.43356643356643354	0.30097087378640774	0.775	515.0
3	21	[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])([S][#6]) (22 thiohemiaminal)	281.0	39.0	144932.0	163.0	0.998610872330915	0.7448512397238397	0.7356020942408376	0.6328828828828829	0.878125	444.0
4	25	[#6,#1]C([#6,#1])=C([#6,#1])O[#6] (26 enol ether)	1811.0	653.0	141312.0	1639.0	0.9842382147646391	0.6135688166154633	0.6124450456543794	0.524927536231884	0.7349837662337663	3450.0
5	26	[#6][OH] (27 hydroxy compound)	82959.0	7366.0	47711.0	7379.0	0.8986005570264416	0.7845417107629533	0.9183839524418392	0.918317872877416	0.9184500415167451	90338.0
6	40	[#6]S[#6] (41 thioether)	6898.0	1607.0	135820.0	1090.0	0.9814530825568202	0.8271121133060375	0.8364760807615351	0.8635453179769654	0.8110523221634333	7988.0
7	44	[a] (200 aryl)	99093.0	1531.0	42147.0	2644.0	0.971289069215693	0.9323339628780288	0.9793685542174628	0.9740114216066917	0.9847849419621562	101737.0
8	63	[FX1][CX4] (Alkylfluoride)	3445.0	208.0	141645.0	117.0	0.9977650173640958	0.9538890056527908	0.9549549549549549	0.9671532846715328	0.9430604982206405	3562.0
9	66	[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15])] (Alcohol)	42138.0	5984.0	90955.0	6338.0	0.915263212185813	0.8090142804201076	0.8724404231971676	0.8692548890172457	0.8756493911308757	48476.0
10	70	[OX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])] (Dialkylether)	5833.0	2404.0	132457.0	4721.0	0.9510023037513324	0.6002906568310494	0.6208291203235591	0.5526814477923062	0.7081461697219862	10554.0
11	77	[NX3+0,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])] (Amine)	34168.0	3981.0	102675.0	4591.0	0.9410514733693223	0.8485242313491725	0.8885421542622355	0.8815500915916303	0.8956460195549032	38759.0
12	87	[NX3H0+0,NX4H1+;$([N]([c])([C])[#6]);!$([N]*~[#7,#8,#15,#16])] (Tertiary_mixed_amine)	1136.0	422.0	142992.0	865.0	0.9911494687618196	0.6390642000811144	0.6383815678561394	0.5677161419290355	0.7291399229781772	2001.0
13	89	[N+;!$([N]~[!#6]);!$(N=*);!$([N]*~[#7,#8,#15,#16])] (Ammonium)	1079.0	53.0	144085.0	198.0	0.9982739057181171	0.8965931366832331	0.8958073889580739	0.8449490994518403	0.9531802120141343	1277.0
14	91	[SX2]([CX4;!$(C([SX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([SX2])[O,S,#7,#15])] (Dialkylthioether)	1944.0	269.0	142760.0	442.0	0.9951105456796067	0.8435370824195504	0.8454011741682974	0.8147527242246437	0.8784455490284682	2386.0
15	94	[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15,F,Cl,Br,I])][CX4;!$(C([N])[O,S,#7,#15])][NX3;!$(NC=[O,S,N])] (1,2-Aminoalcohol)	2878.0	782.0	140225.0	1530.0	0.9841006773716604	0.7085588132848317	0.713435795736242	0.6529038112522686	0.7863387978142077	4408.0
16	112	[NX3v3;!$(NC=[#7,#8,#15,#16])]([#6])[CX4;!$(C(N)(N)[!#6])][NX3v3;!$(NC=[#7,#8,#15,#16])][#6]  (Aminal)	19.0	1.0	145285.0	110.0	0.9992366674689681	0.37390442057373185	0.2550335570469799	0.14728682170542637	0.95	129.0
17	119	[NX3v3,SX2,OX2;$(**=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])] (NOS_methylen_ester_and_similar)	1535.0	551.0	141730.0	1599.0	0.985214730254788	0.5934179338107506	0.5881226053639846	0.48978940650925334	0.7358581016299137	3134.0
18	124	[BrX1][CX3]=[CX3] (Bromoalkene)	30.0	5.0	145337.0	43.0	0.999669910256851	0.5933796931890967	0.5555555555555556	0.410958904109589	0.8571428571428571	73.0
19	126	[OX2H][CX3;$([H1]),$(C[#6])]=[CX3] (Enol)	304.0	164.0	144231.0	716.0	0.9939483547089365	0.4374856921946021	0.40860215053763443	0.2980392156862745	0.6495726495726496	1020.0
20	130	[NX3;$([NH2][CX3]),$([NH1]([CX3])[#6]),$([N]([CX3])([#6])[#6]);!$([N]*=[#7,#8,#15,#16])][CX3;$([CH]),$([C][#6])]=[CX3] (Enamine)	356.0	90.0	144518.0	451.0	0.9962796135199258	0.5918221870398453	0.5682362330407024	0.44114002478314746	0.7982062780269058	807.0
21	139	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[OX2][#6;!$(C=[O,N,S])] (Carboxylic_ester)	18067.0	3254.0	119487.0	4607.0	0.9459409276897156	0.7900275377036553	0.8213206046141607	0.7968157360853841	0.8473805168613104	22674.0
